               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056483,            0.079979,            0.013872,             0.33146,              0.1586,             0.13846,            0.060312,            0.054451,            0.089033,            0.013636,            0.070014,           0.0033318,           0.0033318
                   1,            0.053938,            0.080654,            0.012465,             0.50278,             0.18636,             0.17536,            0.078661,            0.049965,            0.084025,            0.010893,            0.039794,           0.0064452,           0.0064452
                   2,            0.053023,            0.080003,            0.012197,             0.46792,             0.20013,             0.18238,             0.08221,            0.049389,            0.082796,            0.010635,           0.0093538,           0.0093386,           0.0093386
                   3,            0.053214,            0.080037,            0.012355,             0.52287,             0.20799,             0.19514,            0.089777,            0.047679,            0.079704,           0.0099147,             0.00901,             0.00901,             0.00901
                   4,            0.053172,            0.080388,            0.012313,             0.38048,             0.21204,             0.19662,            0.091729,            0.047086,             0.07953,           0.0099799,             0.00901,             0.00901,             0.00901
                   5,            0.052873,            0.079887,            0.012215,             0.39119,             0.21484,             0.20482,            0.095615,            0.046346,            0.078593,            0.009703,             0.00868,             0.00868,             0.00868
                   6,            0.052662,            0.079678,            0.012165,             0.36086,             0.22128,             0.20744,            0.097274,            0.045865,             0.07786,           0.0095556,             0.00835,             0.00835,             0.00835
                   7,            0.052401,            0.079299,            0.012079,             0.47477,             0.21371,             0.20832,             0.09799,            0.045632,            0.077536,            0.009502,             0.00802,             0.00802,             0.00802
                   8,              0.0522,            0.079071,            0.012011,             0.36812,             0.21678,             0.21192,            0.099867,            0.045395,            0.077311,            0.009458,             0.00769,             0.00769,             0.00769
                   9,            0.051736,            0.078671,            0.011826,             0.39448,              0.2199,             0.21254,             0.10005,            0.045192,            0.077107,           0.0094243,             0.00736,             0.00736,             0.00736
                  10,            0.051498,            0.078252,            0.011737,             0.41503,             0.22024,             0.21289,             0.10025,             0.04509,             0.07699,           0.0094006,             0.00703,             0.00703,             0.00703
                  11,            0.051284,             0.07831,            0.011681,             0.39029,             0.22432,             0.21367,              0.1011,            0.044969,            0.076866,           0.0093895,              0.0067,              0.0067,              0.0067
                  12,            0.051024,            0.077828,            0.011571,             0.40819,             0.22458,             0.21511,             0.10187,            0.044908,            0.076791,           0.0093537,             0.00637,             0.00637,             0.00637
                  13,            0.050774,            0.077699,            0.011548,             0.40547,             0.22482,             0.21562,             0.10247,            0.044863,            0.076723,           0.0093317,             0.00604,             0.00604,             0.00604
                  14,            0.050443,            0.077552,            0.011415,              0.4029,             0.22716,             0.21646,             0.10301,            0.044805,            0.076681,           0.0093137,             0.00571,             0.00571,             0.00571
                  15,            0.050163,            0.077363,            0.011291,             0.40208,             0.22819,             0.21751,             0.10348,            0.044765,            0.076631,           0.0092936,             0.00538,             0.00538,             0.00538
                  16,            0.049894,            0.077026,            0.011217,             0.40158,             0.22873,              0.2178,             0.10386,            0.044733,            0.076605,           0.0092787,             0.00505,             0.00505,             0.00505
                  17,            0.049493,            0.076656,            0.011148,             0.47723,             0.22946,             0.21828,             0.10397,            0.044716,            0.076619,           0.0092737,             0.00472,             0.00472,             0.00472
                  18,            0.049187,            0.076179,            0.011014,             0.47195,             0.22963,             0.21872,              0.1043,            0.044692,            0.076645,           0.0092654,             0.00439,             0.00439,             0.00439
                  19,            0.048987,            0.076009,            0.010884,              0.4699,             0.23105,             0.21885,             0.10452,             0.04467,            0.076683,           0.0092683,             0.00406,             0.00406,             0.00406
                  20,            0.048497,            0.075689,            0.010767,             0.47347,             0.22845,             0.21878,             0.10481,             0.04465,            0.076762,           0.0092711,             0.00373,             0.00373,             0.00373
                  21,            0.048269,             0.07535,            0.010677,             0.46377,             0.23031,             0.21907,             0.10492,            0.044638,            0.076883,           0.0092794,              0.0034,              0.0034,              0.0034
                  22,            0.047859,            0.075041,            0.010544,             0.46033,             0.23287,             0.21929,             0.10512,             0.04463,            0.077041,           0.0092926,             0.00307,             0.00307,             0.00307
                  23,            0.047475,            0.074361,            0.010413,             0.45629,             0.23223,             0.21904,              0.1051,            0.044621,            0.077279,           0.0093109,             0.00274,             0.00274,             0.00274
                  24,            0.047077,             0.07402,             0.01031,             0.46215,             0.23166,             0.21839,             0.10512,            0.044631,            0.077567,            0.009333,             0.00241,             0.00241,             0.00241
                  25,            0.046571,            0.073529,            0.010159,              0.4605,             0.22878,             0.21754,             0.10505,            0.044662,             0.07801,           0.0093585,             0.00208,             0.00208,             0.00208
                  26,              0.0462,            0.072972,           0.0099573,             0.45896,             0.22775,             0.21689,             0.10489,            0.044713,            0.078611,           0.0093948,             0.00175,             0.00175,             0.00175
                  27,             0.04567,            0.072732,           0.0097891,             0.45402,             0.22526,             0.21553,             0.10452,            0.044773,              0.0794,           0.0094386,             0.00142,             0.00142,             0.00142
                  28,            0.045108,            0.071983,           0.0096186,             0.45404,             0.22411,             0.21378,             0.10392,            0.044875,            0.080433,           0.0095006,             0.00109,             0.00109,             0.00109
                  29,            0.044487,            0.071097,           0.0093909,              0.4587,              0.2195,             0.21136,             0.10294,            0.045026,            0.081755,           0.0095883,             0.00076,             0.00076,             0.00076

