               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047445,            0.067881,           0.0043334,             0.62598,             0.45171,             0.48601,             0.22612,            0.044876,            0.071827,           0.0040026,             0.00307,             0.00307,             0.00307
                  37,            0.047328,            0.067804,           0.0042978,             0.62685,             0.45238,             0.48685,             0.22677,            0.044793,             0.07186,           0.0039858,            0.002872,            0.002872,            0.002872
                  38,            0.047021,            0.067695,           0.0042416,             0.62929,             0.45248,             0.48785,             0.22742,             0.04472,            0.071886,           0.0039741,            0.002674,            0.002674,            0.002674
                  39,            0.046831,             0.06749,           0.0042432,             0.63062,             0.45342,             0.48952,             0.22814,            0.044645,             0.07194,            0.003957,            0.002476,            0.002476,            0.002476
                  40,            0.046555,            0.067215,           0.0041568,             0.63277,             0.45322,             0.49036,             0.22893,            0.044578,            0.072012,           0.0039471,            0.002278,            0.002278,            0.002278
                  41,            0.046268,            0.066898,           0.0041062,             0.63538,             0.45294,             0.49158,             0.22947,            0.044511,            0.072177,           0.0039365,             0.00208,             0.00208,             0.00208
                  42,            0.046014,            0.066607,           0.0040123,             0.63412,             0.45373,             0.49224,             0.23006,            0.044459,            0.072352,           0.0039283,            0.001882,            0.001882,            0.001882
                  43,            0.045778,            0.066396,           0.0039846,             0.63495,             0.45374,             0.49263,             0.23069,            0.044415,            0.072598,           0.0039252,            0.001684,            0.001684,            0.001684
                  44,            0.045507,            0.065927,           0.0039733,             0.63275,             0.45433,             0.49297,             0.23092,            0.044384,            0.072891,           0.0039258,            0.001486,            0.001486,            0.001486
                  45,            0.045151,            0.065664,           0.0039104,             0.63434,             0.45408,             0.49362,             0.23117,            0.044344,            0.073265,           0.0039204,            0.001288,            0.001288,            0.001288
                  46,            0.044845,             0.06547,           0.0038268,             0.63405,              0.4542,             0.49366,             0.23126,            0.044332,            0.073694,           0.0039242,             0.00109,             0.00109,             0.00109
                  47,            0.044471,            0.064925,           0.0037567,             0.63432,              0.4531,             0.49336,             0.23137,            0.044324,            0.074282,           0.0039283,            0.000892,            0.000892,            0.000892
                  48,            0.044066,            0.064677,           0.0036795,             0.63432,             0.45267,             0.49285,             0.23118,            0.044333,            0.074902,           0.0039404,            0.000694,            0.000694,            0.000694
                  49,            0.043634,            0.064198,           0.0036311,             0.63447,             0.45116,             0.49199,             0.23097,            0.044345,            0.075512,            0.003956,            0.000496,            0.000496,            0.000496

