               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063311,            0.082595,           0.0076481,             0.55484,             0.36695,             0.38858,              0.1634,            0.052918,             0.08356,           0.0063248,            0.070007,           0.0033326,           0.0033326
                   1,            0.054815,            0.078701,           0.0056383,             0.57882,             0.41468,             0.43444,             0.19407,            0.047879,            0.077737,           0.0042797,            0.039989,           0.0066478,           0.0066478
                   2,            0.053472,            0.077561,           0.0053747,             0.60042,             0.43249,             0.45868,             0.20927,            0.045785,            0.076059,           0.0039391,           0.0098987,           0.0098911,           0.0098911
                   3,            0.052493,            0.076549,           0.0051972,             0.61518,              0.4506,             0.47986,             0.21988,            0.044812,            0.074835,           0.0036976,           0.0097577,           0.0097577,           0.0097577
                   4,            0.051938,            0.076458,           0.0051221,             0.61613,             0.45084,             0.48339,             0.22263,             0.04446,            0.074504,           0.0036546,           0.0097577,           0.0097577,           0.0097577
                   5,             0.05162,            0.075803,           0.0050237,             0.61732,             0.46179,             0.48816,             0.22569,            0.044141,            0.074076,           0.0035784,           0.0095721,           0.0095721,           0.0095721
                   6,            0.051243,             0.07552,           0.0049392,             0.61976,             0.46253,              0.4912,             0.22802,            0.043921,            0.073848,           0.0035425,           0.0093368,           0.0093368,           0.0093368
                   7,            0.050911,             0.07516,           0.0048622,             0.63182,             0.46171,             0.49525,             0.22968,            0.043801,            0.073603,           0.0035309,           0.0090546,           0.0090546,           0.0090546
                   8,            0.050693,            0.074794,           0.0048331,              0.6321,             0.46443,               0.498,             0.23131,            0.043647,            0.073429,           0.0034832,           0.0087286,           0.0087286,           0.0087286
                   9,             0.05041,            0.074913,           0.0047946,              0.6338,             0.46804,             0.50124,             0.23305,            0.043565,            0.073349,           0.0034759,           0.0083622,           0.0083622,           0.0083622
                  10,            0.049975,            0.074317,           0.0047066,              0.6382,             0.46709,             0.50297,             0.23415,            0.043446,            0.073286,           0.0034691,           0.0079595,           0.0079595,           0.0079595
                  11,            0.049737,            0.074126,           0.0046462,             0.63757,             0.46837,             0.50433,             0.23509,            0.043377,            0.073303,           0.0034759,            0.007525,            0.007525,            0.007525
                  12,            0.049309,             0.07357,           0.0045701,              0.6388,             0.46678,             0.50469,             0.23574,            0.043344,            0.073396,           0.0034912,           0.0070633,           0.0070633,           0.0070633
                  13,            0.049039,            0.073315,           0.0045445,             0.63811,             0.46715,             0.50518,             0.23608,            0.043326,            0.073541,           0.0034993,           0.0065796,           0.0065796,           0.0065796
                  14,            0.048547,            0.072893,           0.0043992,             0.63743,             0.46605,             0.50436,             0.23618,            0.043328,            0.073771,           0.0035088,           0.0060792,           0.0060792,           0.0060792
                  15,             0.04807,            0.072337,           0.0043284,             0.63786,             0.46545,             0.50398,             0.23647,            0.043331,            0.074056,           0.0035187,           0.0055674,           0.0055674,           0.0055674
                  16,            0.047713,            0.072302,           0.0042329,             0.63888,             0.46444,             0.50387,             0.23655,            0.043337,            0.074375,           0.0035256,             0.00505,             0.00505,             0.00505
                  17,            0.047177,            0.071535,           0.0041509,             0.63814,              0.4642,             0.50365,              0.2365,            0.043364,            0.074787,           0.0035423,           0.0045326,           0.0045326,           0.0045326
                  18,            0.046746,            0.071234,           0.0040764,             0.63914,             0.46155,             0.50248,             0.23624,             0.04341,            0.075403,           0.0035698,           0.0040208,           0.0040208,           0.0040208
                  19,             0.04617,            0.070882,           0.0039333,             0.63791,             0.45997,             0.50095,             0.23572,            0.043467,            0.076171,           0.0035964,           0.0035204,           0.0035204,           0.0035204
                  20,            0.045647,            0.070422,           0.0038521,             0.63681,             0.45778,             0.49927,             0.23515,            0.043538,            0.077127,           0.0036316,           0.0030367,           0.0030367,           0.0030367
                  21,            0.045118,            0.069686,           0.0037644,             0.63753,             0.45423,             0.49673,              0.2339,            0.043657,            0.078406,           0.0036805,            0.002575,            0.002575,            0.002575
                  22,            0.044554,            0.069189,           0.0036424,             0.63657,             0.45094,             0.49378,             0.23249,            0.043819,            0.079991,             0.00374,           0.0021405,           0.0021405,           0.0021405
                  23,            0.044048,            0.068404,            0.003534,             0.63663,             0.44606,             0.48967,             0.23059,            0.044019,            0.081935,           0.0038048,           0.0017378,           0.0017378,           0.0017378
                  24,            0.043503,            0.067943,           0.0034585,             0.63683,             0.43928,             0.48473,             0.22835,            0.044284,            0.084385,           0.0038803,           0.0013714,           0.0013714,           0.0013714
                  25,            0.042864,            0.067454,           0.0033528,             0.63895,             0.43025,             0.47859,             0.22531,            0.044616,            0.087336,            0.003969,           0.0010454,           0.0010454,           0.0010454

