               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  17,             0.04071,            0.065167,           0.0028708,             0.67622,             0.45408,             0.51538,             0.23833,            0.046936,             0.10954,           0.0040372,            0.000993,            0.000993,            0.000993
                  18,            0.040688,            0.064901,           0.0028397,             0.67686,              0.4515,             0.51509,             0.23816,            0.047041,             0.11116,           0.0040573,           0.0009921,           0.0009921,           0.0009921
                  19,            0.040607,            0.064942,            0.002863,             0.67795,             0.45189,             0.51562,             0.23873,            0.046991,             0.11224,           0.0040663,          0.00099115,          0.00099115,          0.00099115
                  20,            0.040411,            0.064919,           0.0028303,             0.68033,             0.45308,              0.5183,             0.24017,            0.046741,              0.1119,           0.0040276,          0.00099014,          0.00099014,          0.00099014
                  21,            0.040463,            0.064908,           0.0028421,             0.68188,             0.45615,             0.52115,             0.24227,            0.046383,             0.11097,           0.0039777,          0.00098908,          0.00098908,          0.00098908
                  22,            0.040373,            0.064835,           0.0028207,             0.68333,             0.45968,             0.52498,             0.24512,            0.045941,             0.10965,           0.0039112,          0.00098796,          0.00098796,          0.00098796
                  23,            0.040279,            0.064509,           0.0028031,             0.68524,             0.46467,              0.5299,             0.24859,            0.045452,             0.10777,           0.0038357,           0.0009868,           0.0009868,           0.0009868
                  24,            0.040221,            0.064536,           0.0027926,             0.68569,             0.47035,              0.5351,             0.25227,            0.044904,             0.10548,           0.0037506,          0.00098557,          0.00098557,          0.00098557
                  25,            0.040123,             0.06432,           0.0027833,             0.68767,             0.47661,             0.54084,             0.25648,            0.044315,             0.10295,           0.0036602,           0.0009843,           0.0009843,           0.0009843
                  26,            0.040186,            0.064387,           0.0027687,             0.68846,             0.48363,             0.54703,             0.26097,            0.043742,             0.10025,           0.0035794,          0.00098297,          0.00098297,          0.00098297
                  27,            0.040074,            0.064543,           0.0027727,              0.6875,              0.4905,             0.55243,             0.26532,            0.043166,            0.097603,           0.0034888,          0.00098159,          0.00098159,          0.00098159
                  28,            0.040063,            0.064303,            0.002743,             0.68966,             0.49667,             0.55801,              0.2697,             0.04262,            0.095066,            0.003401,          0.00098016,          0.00098016,          0.00098016
                  29,            0.040025,            0.064119,           0.0027758,             0.69135,             0.50286,             0.56399,             0.27399,            0.042119,             0.09267,           0.0033054,          0.00097867,          0.00097867,          0.00097867
                  30,            0.039955,            0.064109,           0.0027631,             0.69154,             0.50875,             0.56896,             0.27798,            0.041645,            0.090383,           0.0032259,          0.00097713,          0.00097713,          0.00097713
                  31,            0.039916,            0.064306,           0.0027461,              0.6925,             0.51341,             0.57362,             0.28163,            0.041221,            0.088126,           0.0031539,          0.00097554,          0.00097554,          0.00097554
                  32,            0.039927,            0.064171,           0.0027591,             0.69127,             0.52007,             0.57816,              0.2851,            0.040825,            0.086029,            0.003083,           0.0009739,           0.0009739,           0.0009739
                  33,            0.039811,            0.064076,           0.0027237,             0.69487,             0.52371,             0.58276,             0.28824,            0.040463,            0.084079,           0.0030108,           0.0009722,           0.0009722,           0.0009722
                  34,             0.03981,            0.064174,           0.0027781,             0.69543,             0.52961,             0.58811,             0.29172,            0.040092,             0.08207,            0.002931,          0.00097046,          0.00097046,          0.00097046
                  35,             0.03978,            0.063919,           0.0027459,              0.6969,               0.535,             0.59272,             0.29474,            0.039784,            0.080405,           0.0028604,          0.00096866,          0.00096866,          0.00096866
                  36,            0.039824,            0.064038,           0.0027333,             0.69862,             0.53871,             0.59667,             0.29756,            0.039492,            0.078797,            0.002793,          0.00096681,          0.00096681,          0.00096681
                  37,            0.039735,            0.063909,           0.0027271,              0.6995,             0.54344,             0.60081,             0.30022,            0.039225,            0.077372,           0.0027356,          0.00096491,          0.00096491,          0.00096491
                  38,            0.039741,            0.064021,           0.0027162,             0.70202,             0.54629,             0.60461,             0.30283,            0.038969,             0.07602,           0.0026715,          0.00096295,          0.00096295,          0.00096295
                  39,            0.039741,            0.064024,           0.0027269,              0.7018,             0.55106,             0.60811,             0.30518,            0.038747,            0.074759,           0.0026187,          0.00096095,          0.00096095,          0.00096095
                  40,            0.039674,            0.063906,           0.0027151,             0.70507,              0.5537,             0.61153,             0.30743,            0.038521,            0.073725,           0.0025767,           0.0009589,           0.0009589,           0.0009589
                  41,            0.039627,            0.063778,           0.0027191,             0.70726,             0.55645,             0.61454,             0.30958,            0.038317,            0.072737,           0.0025316,          0.00095679,          0.00095679,          0.00095679
                  42,            0.039701,             0.06377,            0.002683,             0.70897,              0.5584,             0.61698,             0.31117,            0.038149,             0.07183,            0.002496,          0.00095464,          0.00095464,          0.00095464
                  43,            0.039611,            0.063841,           0.0027018,             0.71168,             0.56048,             0.61949,             0.31293,            0.037992,            0.071122,           0.0024654,          0.00095244,          0.00095244,          0.00095244
                  44,            0.039497,            0.063768,           0.0026716,             0.71306,              0.5628,             0.62213,             0.31468,             0.03784,            0.070398,           0.0024296,          0.00095018,          0.00095018,          0.00095018
                  45,            0.039541,            0.063724,           0.0026846,             0.71429,             0.56505,             0.62481,             0.31635,            0.037713,            0.069764,           0.0023963,          0.00094788,          0.00094788,          0.00094788
                  46,            0.039483,            0.063682,           0.0026767,             0.71569,               0.567,              0.6271,             0.31784,            0.037597,             0.06915,           0.0023702,          0.00094553,          0.00094553,          0.00094553
                  47,             0.03946,            0.063758,            0.002656,              0.7188,             0.56777,             0.62906,             0.31926,            0.037472,            0.068591,           0.0023431,          0.00094313,          0.00094313,          0.00094313

