               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.049371,            0.073441,           0.0045774,             0.61207,             0.37378,             0.41284,              0.1927,            0.047988,            0.085582,           0.0050473,           0.0074101,           0.0074101,           0.0074101
                  36,            0.049215,            0.073288,           0.0045364,             0.61234,              0.3778,             0.41672,             0.19441,            0.047782,            0.085349,           0.0049383,           0.0072713,           0.0072713,           0.0072713
                  37,            0.049122,            0.073418,           0.0045808,             0.61487,             0.38148,             0.42066,             0.19621,            0.047584,            0.084855,           0.0048593,           0.0071303,           0.0071303,           0.0071303
                  38,            0.048982,            0.073067,            0.004517,             0.61442,             0.38628,             0.42401,             0.19768,             0.04742,            0.084527,           0.0048113,           0.0069872,           0.0069872,           0.0069872
                  39,            0.048951,            0.073041,           0.0044929,             0.61497,             0.39003,             0.42764,             0.19958,            0.047207,            0.084112,           0.0047788,           0.0068422,           0.0068422,           0.0068422
                  40,            0.048812,             0.07298,           0.0044601,             0.61634,             0.39399,             0.43245,             0.20171,            0.046965,            0.083745,           0.0047342,           0.0066953,           0.0066953,           0.0066953
                  41,            0.048755,             0.07298,            0.004461,             0.61703,             0.39863,             0.43622,             0.20364,            0.046737,            0.083367,           0.0047198,           0.0065468,           0.0065468,           0.0065468
                  42,            0.048659,            0.072885,           0.0044404,             0.61891,             0.40285,             0.44065,              0.2057,              0.0465,               0.083,           0.0046811,           0.0063968,           0.0063968,           0.0063968
                  43,            0.048525,            0.072752,           0.0044085,              0.6199,             0.40763,             0.44524,             0.20797,            0.046249,            0.082602,            0.004614,           0.0062453,           0.0062453,           0.0062453
                  44,            0.048355,            0.072481,            0.004378,             0.62254,             0.41106,             0.44938,             0.21006,            0.046008,            0.082283,           0.0045456,           0.0060927,           0.0060927,           0.0060927
                  45,            0.048348,            0.072338,           0.0043544,             0.62216,             0.41593,             0.45368,             0.21217,            0.045768,            0.081823,           0.0044848,           0.0059389,           0.0059389,           0.0059389
                  46,            0.048186,             0.07242,           0.0043355,             0.62265,             0.42021,             0.45757,             0.21414,            0.045548,            0.081415,           0.0044351,           0.0057843,           0.0057843,           0.0057843
                  47,            0.047955,            0.072266,           0.0042867,             0.62491,             0.42338,             0.46096,             0.21599,            0.045352,            0.081193,           0.0043747,           0.0056289,           0.0056289,           0.0056289
                  48,            0.047938,             0.07212,           0.0042944,             0.62375,             0.42745,             0.46439,             0.21781,            0.045179,             0.08089,           0.0043107,           0.0054728,           0.0054728,           0.0054728
                  49,            0.047756,            0.072047,           0.0042572,             0.62486,             0.43042,             0.46737,             0.21947,            0.045013,            0.080594,           0.0042596,           0.0053163,           0.0053163,           0.0053163
                  50,            0.047625,            0.072014,           0.0041985,             0.62736,             0.43258,             0.47015,             0.22094,            0.044856,            0.080367,           0.0042248,           0.0051595,           0.0051595,           0.0051595
                  51,              0.0475,            0.071725,           0.0042173,             0.62832,             0.43417,             0.47204,             0.22196,            0.044727,            0.080154,           0.0042267,           0.0050025,           0.0050025,           0.0050025
                  52,            0.047418,            0.071591,           0.0041945,              0.6311,             0.43606,             0.47455,             0.22314,            0.044596,            0.080129,           0.0041992,           0.0048455,           0.0048455,           0.0048455
                  53,            0.047288,            0.071623,           0.0041686,             0.63158,             0.43936,             0.47771,             0.22496,            0.044415,            0.079745,           0.0041185,           0.0046887,           0.0046887,           0.0046887
                  54,             0.04715,            0.071258,            0.004129,             0.63292,             0.44276,             0.48109,             0.22671,            0.044253,            0.079311,           0.0040404,           0.0045322,           0.0045322,           0.0045322
                  55,            0.047027,            0.071385,           0.0041105,             0.63377,             0.44607,              0.4846,              0.2285,            0.044077,            0.078872,           0.0039763,           0.0043761,           0.0043761,           0.0043761
                  56,            0.046846,            0.071117,           0.0040859,             0.63535,             0.44762,             0.48598,             0.22917,             0.04401,            0.078819,           0.0040162,           0.0042207,           0.0042207,           0.0042207
                  57,            0.046706,            0.071137,           0.0040563,               0.636,             0.44854,             0.48692,             0.22958,            0.043985,            0.078916,           0.0040634,           0.0040661,           0.0040661,           0.0040661
                  58,            0.046601,            0.070975,           0.0040282,             0.63647,             0.45255,             0.49064,             0.23176,            0.043805,             0.07844,           0.0039522,           0.0039123,           0.0039123,           0.0039123
                  59,            0.046479,            0.070826,           0.0040138,             0.63656,             0.45614,              0.4939,             0.23347,            0.043657,            0.078075,           0.0038534,           0.0037597,           0.0037597,           0.0037597
                  60,            0.046374,            0.070586,           0.0039927,             0.63832,             0.45849,             0.49667,             0.23517,            0.043519,            0.077705,           0.0037771,           0.0036082,           0.0036082,           0.0036082
                  61,            0.046153,            0.070579,           0.0039413,             0.64088,             0.46053,             0.49972,             0.23682,            0.043376,            0.077367,           0.0037175,           0.0034582,           0.0034582,           0.0034582
                  62,            0.045984,            0.070288,           0.0039067,             0.64264,             0.46304,             0.50239,             0.23836,            0.043234,            0.076979,           0.0036552,           0.0033097,           0.0033097,           0.0033097
                  63,             0.04585,            0.070301,           0.0039066,             0.64374,             0.46532,             0.50492,             0.23976,             0.04312,              0.0767,           0.0036123,           0.0031628,           0.0031628,           0.0031628
                  64,            0.045751,            0.070163,           0.0038875,             0.64623,             0.46762,             0.50707,             0.24088,            0.043019,            0.076387,           0.0035582,           0.0030178,           0.0030178,           0.0030178
                  65,            0.045537,            0.069635,           0.0038589,              0.6461,              0.4678,             0.50697,              0.2408,            0.043051,            0.076625,            0.003645,           0.0028747,           0.0028747,           0.0028747
                  66,            0.045428,            0.069582,           0.0037954,             0.64531,             0.46637,             0.50536,             0.24039,            0.043136,            0.076861,           0.0037499,           0.0027337,           0.0027337,           0.0027337
                  67,            0.045283,            0.069306,           0.0037819,              0.6468,             0.46626,             0.50591,             0.24071,            0.043128,            0.076939,           0.0037688,           0.0025949,           0.0025949,           0.0025949
                  68,            0.045113,            0.069256,           0.0037702,             0.64839,             0.47082,             0.50992,             0.24273,            0.042936,            0.076555,           0.0036608,           0.0024586,           0.0024586,           0.0024586
                  69,            0.044977,            0.069196,            0.003743,             0.64949,             0.47272,             0.51235,             0.24406,            0.042811,             0.07634,           0.0035925,           0.0023247,           0.0023247,           0.0023247
                  70,            0.044802,            0.069031,             0.00371,             0.65174,             0.47496,             0.51541,             0.24548,            0.042682,            0.076073,           0.0035311,           0.0021935,           0.0021935,           0.0021935
                  71,            0.044745,            0.069197,           0.0037018,             0.65297,             0.47636,             0.51751,             0.24677,            0.042575,            0.075863,            0.003485,            0.002065,            0.002065,            0.002065
                  72,            0.044517,            0.068971,           0.0036378,             0.65409,             0.47731,             0.51939,             0.24778,            0.042495,            0.075796,           0.0034569,           0.0019395,           0.0019395,           0.0019395
                  73,             0.04434,            0.068719,           0.0036008,             0.65609,             0.47879,             0.52156,             0.24891,            0.042411,            0.075612,           0.0034228,            0.001817,            0.001817,            0.001817
                  74,            0.044204,            0.068448,           0.0035688,             0.65723,             0.48001,              0.5229,             0.24987,            0.042336,            0.075481,           0.0033981,           0.0016976,           0.0016976,           0.0016976
                  75,            0.044026,            0.068147,           0.0035489,             0.65765,              0.4817,             0.52458,             0.25082,            0.042255,             0.07537,           0.0033628,           0.0015815,           0.0015815,           0.0015815
                  76,            0.043895,            0.068108,           0.0035588,             0.65802,              0.4835,             0.52677,             0.25197,            0.042173,            0.075275,           0.0033194,           0.0014687,           0.0014687,           0.0014687
                  77,            0.043701,            0.067714,           0.0034825,             0.65889,             0.48453,             0.52842,             0.25279,            0.042095,            0.075258,           0.0032863,           0.0013595,           0.0013595,           0.0013595
                  78,            0.043606,            0.067718,           0.0034521,              0.6608,              0.4858,             0.53019,             0.25361,            0.042033,            0.075283,           0.0032493,           0.0012538,           0.0012538,           0.0012538

