               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056114,            0.076121,           0.0060041,             0.48126,             0.33513,             0.34224,             0.14107,            0.056069,            0.086066,           0.0071185,            0.070014,           0.0033318,           0.0033318
                   1,            0.053182,            0.076723,           0.0050389,             0.56845,             0.39134,             0.40989,              0.1795,            0.049701,            0.080046,           0.0051876,            0.039794,           0.0064452,           0.0064452
                   2,            0.052123,            0.076005,           0.0048286,              0.5661,             0.39956,             0.41898,             0.18566,            0.048457,            0.080062,              0.0048,           0.0093538,           0.0093386,           0.0093386
                   3,            0.052266,            0.075994,           0.0049258,              0.5914,             0.42568,              0.4507,              0.2002,            0.046789,            0.076269,           0.0039703,             0.00901,             0.00901,             0.00901
                   4,            0.052198,            0.076295,           0.0049398,              0.6023,             0.43881,             0.46503,             0.20982,            0.046078,            0.075233,           0.0037606,             0.00901,             0.00901,             0.00901
                   5,            0.051925,            0.075854,           0.0048475,             0.60682,             0.44697,             0.47269,             0.21454,             0.04534,            0.074843,           0.0035801,             0.00868,             0.00868,             0.00868
                   6,            0.051596,            0.075608,           0.0047961,             0.60937,             0.45558,             0.48235,             0.21919,            0.044904,            0.074346,           0.0035238,             0.00835,             0.00835,             0.00835
                   7,            0.051443,            0.075247,           0.0047631,             0.61559,             0.45562,             0.48537,             0.22239,            0.044645,            0.073843,            0.003497,             0.00802,             0.00802,             0.00802
                   8,            0.051233,            0.075102,            0.004745,             0.61805,             0.45807,             0.48749,             0.22394,             0.04445,            0.073856,           0.0035069,             0.00769,             0.00769,             0.00769
                   9,            0.050787,            0.074709,           0.0046629,             0.61979,             0.46113,             0.49097,             0.22598,            0.044223,             0.07352,           0.0034359,             0.00736,             0.00736,             0.00736
                  10,            0.050563,            0.074353,           0.0045967,             0.62279,             0.46129,              0.4929,             0.22741,            0.044102,            0.073437,           0.0034373,             0.00703,             0.00703,             0.00703
                  11,            0.050321,            0.074379,           0.0045477,             0.62715,             0.46338,             0.49582,             0.22886,            0.043966,            0.073287,           0.0033957,              0.0067,              0.0067,              0.0067
                  12,            0.050075,            0.073938,           0.0044637,             0.62666,              0.4643,             0.49693,             0.22991,            0.043885,            0.073136,           0.0033881,             0.00637,             0.00637,             0.00637
                  13,            0.049817,            0.073801,           0.0044617,             0.62515,             0.46628,             0.49825,             0.23064,            0.043827,            0.073044,           0.0033853,             0.00604,             0.00604,             0.00604
                  14,            0.049462,            0.073627,           0.0043694,             0.62609,             0.46654,             0.49879,             0.23136,            0.043781,            0.072974,           0.0033782,             0.00571,             0.00571,             0.00571
                  15,            0.049219,            0.073565,           0.0043363,              0.6291,             0.46592,             0.49972,             0.23186,            0.043738,            0.072905,           0.0033754,             0.00538,             0.00538,             0.00538
                  16,            0.048923,            0.073132,           0.0042716,             0.62999,             0.46701,             0.50087,             0.23232,            0.043709,            0.072872,           0.0033726,             0.00505,             0.00505,             0.00505
                  17,            0.048572,            0.072852,           0.0042082,             0.63182,             0.46627,             0.50104,             0.23275,            0.043682,             0.07286,           0.0033714,             0.00472,             0.00472,             0.00472
                  18,            0.048238,            0.072397,           0.0041388,             0.63174,             0.46672,             0.50196,             0.23324,            0.043658,            0.072851,           0.0033684,             0.00439,             0.00439,             0.00439
                  19,            0.048014,            0.072258,           0.0040735,             0.63318,             0.46663,             0.50287,             0.23387,            0.043638,            0.072851,           0.0033695,             0.00406,             0.00406,             0.00406
                  20,            0.047552,            0.071933,           0.0040366,             0.63426,             0.46656,              0.5034,             0.23449,            0.043618,            0.072868,           0.0033681,             0.00373,             0.00373,             0.00373
                  21,            0.047328,            0.071585,           0.0039979,              0.6357,             0.46566,             0.50359,             0.23468,            0.043604,            0.072918,           0.0033717,              0.0034,              0.0034,              0.0034
                  22,            0.046958,            0.071324,              0.0039,             0.63653,             0.46507,             0.50372,             0.23496,            0.043597,            0.073022,            0.003381,             0.00307,             0.00307,             0.00307
                  23,            0.046516,            0.070666,           0.0038296,             0.63771,             0.46434,             0.50369,             0.23508,             0.04359,            0.073185,           0.0033891,             0.00274,             0.00274,             0.00274
                  24,            0.046152,            0.070326,           0.0037657,             0.63731,             0.46296,              0.5029,             0.23503,            0.043602,            0.073448,           0.0034041,             0.00241,             0.00241,             0.00241
                  25,            0.045669,             0.06991,           0.0037053,             0.63706,             0.46207,              0.5022,              0.2349,             0.04362,            0.073803,           0.0034206,             0.00208,             0.00208,             0.00208
                  26,            0.045299,            0.069373,           0.0035934,             0.63744,             0.46035,             0.50146,             0.23454,            0.043655,            0.074305,           0.0034427,             0.00175,             0.00175,             0.00175
                  27,            0.044772,            0.069133,           0.0035055,             0.63716,             0.45861,             0.50019,             0.23412,            0.043719,            0.074973,           0.0034728,             0.00142,             0.00142,             0.00142
                  28,            0.044215,             0.06838,           0.0034119,             0.63542,             0.45683,             0.49774,             0.23318,            0.043809,            0.075838,           0.0035148,             0.00109,             0.00109,             0.00109
                  29,            0.043617,            0.067625,           0.0033309,             0.63778,             0.45299,             0.49522,             0.23206,             0.04393,            0.076897,            0.003571,             0.00076,             0.00076,             0.00076

